description,price
intermediate job portal with third-party API with authentication with recommendation system with GraphQL API with real-time chat,56838
basic task manager with map integration with recommendation system with AI chatbot,37103
advanced food delivery app with search functionality with animations with machine learning model,52019
basic note taking app with payment integration with two-factor authentication with reporting system,27422
intermediate freelancing platform with login with recommendation system,37350
basic finance tracking app with subscription system with advanced filters with analytics dashboard with map integration with prediction system with backend integration,53874
intermediate task manager with admin panel with two-factor authentication with map integration,36990
basic crypto dashboard with payment integration with prediction system with cloud deployment with payment gateway (Stripe),36628
intermediate LMS platform with third-party API with machine learning model with payment integration with reporting system with AI chatbot,58785
basic education platform with Razorpay with authentication with third-party API with recommendation system with real-time chat with advanced filters,54730
advanced portfolio website with analytics dashboard with modern UI with cloud deployment,67815
advanced inventory management system with subscription system with analytics dashboard with AI chatbot,85685
advanced online exam system with authentication mobile responsive with CI/CD pipeline with third-party API with prediction system with advanced filters,109432
basic online exam system with backend integration with third-party API with advanced filters with user roles,34699
advanced finance tracking app with AI chatbot with two-factor authentication,55664
advanced online exam system mobile responsive with authentication with prediction system with user roles with map integration,78645
basic blog website with third-party API with AI chatbot with analytics dashboard,31680
basic CMS website with cloud deployment with prediction system with backend integration mobile responsive with third-party API,49842
basic forum website with analytics dashboard with CI/CD pipeline with payment gateway (Stripe) with Razorpay with animations with recommendation system,55244
intermediate chat application with recommendation system with payment integration with real-time chat with search functionality with CI/CD pipeline with two-factor authentication,79078
basic education platform with payment gateway (Stripe) with two-factor authentication with CI/CD pipeline with real-time chat with subscription system,42956
intermediate booking system with real-time chat mobile responsive with CI/CD pipeline with analytics dashboard with GraphQL API with animations,66123
advanced event management system with map integration with Razorpay with real-time chat with subscription system with cloud deployment with login,136988
intermediate note taking app with recommendation system with third-party API with user roles with search functionality with payment gateway (Stripe) with admin panel,66787
basic inventory management system mobile responsive with REST API with admin panel with login with payment integration,46039
basic video streaming platform with analytics dashboard with third-party API with AI chatbot with payment integration,75130
basic ecommerce website with payment gateway (Stripe) with prediction system with user roles with backend integration,56500
basic portfolio website with recommendation system with modern UI with cloud deployment,24020
intermediate music streaming app with payment gateway (Stripe) with REST API,47447
